date, total, active 
2023-05-09, 190, 17
2023-05-10, 190, 17
2023-05-11, 192, 20
2023-05-12, 192, 22
2023-05-13, 192, 21
2023-05-14, 192, 19
2023-05-15, 192, 19
2023-05-16, 193, 21
2023-05-17, 193, 21
2023-05-18, 194, 22
2023-05-19, 194, 22
2023-05-20, 194, 22
2023-05-21, 197, 24
2023-05-22, 197, 23
2023-05-23, 198, 25
2023-05-24, 198, 24
2023-05-25, 198, 24
2023-05-26, 199, 25
2023-05-27, 199, 27
2023-05-28, 199, 27
2023-05-29, 200, 27
